player_name,CLOSEST_DEFENDER,TOTAL_SHOT_COUNT
aaron brooks,"Nurkic, Jusuf",0
aaron gordon,"Rivers, Austin",0
al farouq aminu,"Johnson, James",0
al horford,"Diaw, Boris",0
al jefferson,"Hardaway Jr., Tim",0
alan anderson,"Leuer, Jon",0
alan crabbe,"Sefolosha, Thabo",0
alex len,"Knight, Brandon",0
alexis ajinca,"Meeks, Jodie",0
alonzo gee,"Korver, Kyle",0
amare stoudemire,"Deng, Luol",0
amir johnson,"Grant, Jerami",0
andre drummond,"James, LeBron",0
andre iguodala,"Lowry, Kyle",0
andre miller,"Turner, Evan",0
andre roberson,"Ginobili, Manu",0
andrew bogut,"Ibaka, Serge",0
andrew wiggins,"Sanders, Larry",0
anthony bennett,"Ajinca, Alexis",0
anthony davis,"Mbah a Moute, Luc",0
anthony morrow,"Smith, Ish",0
aron baynes,"McDaniels, KJ",0
arron afflalo,"Casspi, Omri",0
avery bradley,"Aldridge, LaMarcus",0
ben gordon,"Paul, Chris",0
ben mclemore,"Adams, Jordan",0
beno urdih,"Rudez, Damjan",0
bismack biyombo,"Chalmers, Mario",0
blake griffin,"Calderon, Jose",0
bojan bogdanovic,"Allen, Tony",0
boris diaw,"Robinson, Nate",0
bradley beal,"Lawson, Ty",0
brandon bass,"Oladipo, Victor",0
brandon jennings,"Speights, Marreese",0
brandon knight,"Leonard, Kawhi",0
brian roberts,"Gasol, Pau",0
brook lopez,"Gay, Rudy",0
carl landry,"Harris, Devin",0
carlos boozer,"Napier, Shabazz",0
carmelo anthony,"Zeller, Tyler",0
caron butler,"Irving, Kyrie",0
chandler parsons,"Gordon, Eric",0
channing frye,"Johnson, Chris",0
charlie villanueva,"Sacre, Robert",0
chase budinger,"Davis, Anthony",0
chris andersen,"Jefferson, Cory",0
chris bosh,"Sims, Henry",0
chris copeland,"Withey, Jeff",0
chris kaman,"Love, Kevin",0
chris paul,"Brewer, Corey",0
cj mccollum,"Anderson, Alan",0
cj miles,"Moore, E'Twaun",0
cj watson,"Mozgov, Timofey",0
cody zeller,"Price, Ronnie",0
cole aldrich,"Favors, Derrick",0
cory joseph,"Parsons, Chandler",0
courtney lee,"Waiters, Dion",0
damian lillard,"Davis, Anthony",0
damjan rudez,"Landry, Carl",0
danilo gallinai,"Ellington, Wayne",0
danny green,"Green, Jeff",0
dante cunningham,"Ennis, James",0
dante exum,"Williams, Mo",0
